FID,peilmerk,x_rd,y_rd,nap_hoogte,pub_tekst,muurvlak,x_muur_cm,y_muur_cm,type,meetdatum,orde,geom
nappeilmerken.1,001C0001,149490.0,600320.0,3.043,"KORENMOLEN FORMERUM, L.V.INGANG",N,42.0,35.0,PM,Tue Mar 17 00:00:00 CET 2009,2.0,POINT (149490 600320)
nappeilmerken.2,001C0004,148330.0,601990.0,5.111,ZOMERHUISJE 'SIL' N-EINDE HEEREWG,ZO,-279.0,42.0,PM,Tue Mar 17 00:00:00 CET 2009,2.0,POINT (148330 601990)
nappeilmerken.3,001C0005,149040.0,602360.0,12.982,"STRAND HTL-REST.FORMERUM AAN ZEE,-EINDE MOLENWG",O,-607.0,50.0,PM,Tue Mar 17 00:00:00 CET 2009,2.0,POINT (149040 602360)
nappeilmerken.4,001C0006,149050.0,600020.0,3.416,BDR TE LANDEROM (GEM. NO.9),ZW,-44.0,30.0,PM,Tue Mar 17 00:00:00 CET 2009,2.0,POINT (149050 600020)
nappeilmerken.5,001C0009,148160.0,600570.0,2.924,"TRAFO HEEREWEGG/DUINWEG NABIJ HS,DUINWEG 21",O,26.0,8.0,PM,Tue Mar 17 00:00:00 CET 2009,2.0,POINT (148160 600570)
nappeilmerken.6,001D0001,150560.0,600580.0,1.424,ZUIVELFB FORMERUM,NW,60.0,25.0,PM,Tue Mar 17 00:00:00 CET 2009,2.0,POINT (150560 600580)
nappeilmerken.7,001D0002,152000.0,601180.0,2.635,GB 'ONS HUIS' DORPSSTR 29,W,-137.0,45.0,PM,Tue Mar 17 00:00:00 CET 2009,2.0,POINT (152000 601180)
nappeilmerken.8,001D0003,152630.0,601430.0,3.04,BDR DORPSSTR 99,Z,576.0,46.0,PM,Tue Mar 17 00:00:00 CET 2009,2.0,POINT (152630 601430)
nappeilmerken.9,001D0012,151220.0,600940.0,1.609,BDR A/D Z-Z V/D WEG TE LIES NR. 48,NW,53.0,15.0,PM,Tue Mar 17 00:00:00 CET 2009,2.0,POINT (151220 600940)
nappeilmerken.10,001D0014,153500.0,601840.0,3.733,HS NW-Z V/D WEG HOORN-OOSTEREND GEM 5,ZO,53.0,35.0,PM,Tue Mar 17 00:00:00 CET 2009,2.0,POINT (153500 601840)
nappeilmerken.11,001D0016,155070.0,603650.0,2.929,"SCHROEFANKER (ZIE AANM.SCHETS),X=155068.27 Y=603653.29",,0.0,0.0,SA,Tue Mar 17 00:00:00 CET 2009,2.0,POINT (155070 603650)
nappeilmerken.12,001D0022,154580.0,602020.0,3.617,TRAFO HOOFDWG 59,NW,92.0,14.0,PM,Tue Mar 17 00:00:00 CET 2009,2.0,POINT (154580 602020)
nappeilmerken.13,001D0032,155899.0,603780.0,3.701,RD STEEN RD= 019111-17,,0.0,0.0,EG,Tue Mar 17 00:00:00 CET 2009,2.0,POINT (155899 603780)
nappeilmerken.14,001D0033,155900.0,603780.0,3.43,N-KANT V/H WILDROOSTER IN FIETSPAD,N,8.0,-5.0,PM,Tue Mar 17 00:00:00 CET 2009,2.0,POINT (155900 603780)
nappeilmerken.15,001H0003,171160.0,605300.0,3.031,BDR ZO V.TJETTEPAD 2,Z,36.0,39.0,PM,Sat Feb 15 00:00:00 CET 2020,2.0,POINT (171160 605300)
nappeilmerken.16,001H0005,171850.0,605520.0,4.187,TOREN HK HOLLUM,W,-110.0,68.0,PM,Sat Feb 15 00:00:00 CET 2020,2.0,POINT (171850 605520)
nappeilmerken.17,001H0007,170640.0,605920.0,2.902,HS NAAST HS BADWG 44,Z,28.0,30.0,PM,Sat Feb 15 00:00:00 CET 2020,2.0,POINT (170640 605920)
nappeilmerken.18,001H0009,171220.0,605950.0,2.732,HS BADWG 17,N,76.0,37.0,PM,Sat Feb 15 00:00:00 CET 2020,2.0,POINT (171220 605950)
nappeilmerken.19,001H0011,173710.0,606820.0,3.579,BDR VERBINDINGSWG 14,Z,140.0,33.0,PM,Sat Feb 15 00:00:00 CET 2020,2.0,POINT (173710 606820)
nappeilmerken.20,001H0013,174900.0,606460.0,4.583,TOREN BALLUM,N,89.0,130.0,PM,Sat Feb 15 00:00:00 CET 2020,2.0,POINT (174900 606460)
nappeilmerken.21,001H0014,175080.0,606680.0,3.618,BDR NESSERWG 2,W,-52.0,36.0,PM,Sat Feb 15 00:00:00 CET 2020,2.0,POINT (175080 606680)
nappeilmerken.22,001H0016,177320.0,606660.0,2.731,SCH TEN N.V. VERBINDINGSWG,Z,-63.0,48.0,PM,Sun Mar 28 00:00:00 CET 2021,2.0,POINT (177320 606660)
nappeilmerken.23,001H0022,170794.0,605520.0,5.899,SCHROEFANKER W-Z DUIN IN PUT  GPS-coordinaten: x=170794.08 y=605520.41,,0.0,0.0,SA,Sat Feb 15 00:00:00 CET 2020,2.0,POINT (170794 605520)
nappeilmerken.24,001H0026,174700.0,604770.0,0.78,"N-Z. STUW EN DR LOMBOKWG, O. NA KRUISING,MET WESTERGRIEWG",NO,-8.0,-11.0,PM,Sat Feb 15 00:00:00 CET 2020,2.0,POINT (174700 604770)
nappeilmerken.25,001H0045,171810.0,606460.0,3.394,HS BOTTE NEIJSTR 8,O,-138.0,48.0,PM,Sat Feb 15 00:00:00 CET 2020,2.0,POINT (171810 606460)
nappeilmerken.26,001H0048,178050.0,606460.0,2.573,SCH SCHORUMWG,O,720.0,14.0,PM,Sat Feb 15 00:00:00 CET 2020,2.0,POINT (178050 606460)
nappeilmerken.27,001H0049,176320.0,606070.0,3.104,TRAFO ZUIDERGRIEWG/SMITTEWG,Z,22.0,43.0,PM,Sat Feb 15 00:00:00 CET 2020,2.0,POINT (176320 606070)
nappeilmerken.28,001H0050,175730.0,605250.0,2.143,HS ZUIDERGRIEWG 2,Z,-52.0,38.0,PM,Sat Feb 15 00:00:00 CET 2020,2.0,POINT (175730 605250)
nappeilmerken.29,001H0052,174280.0,604870.0,2.167,HS W-GRIEWG 4,N,-120.0,54.0,PM,Sat Feb 15 00:00:00 CET 2020,2.0,POINT (174280 604870)
nappeilmerken.30,001H0053,173110.0,605110.0,2.414,HS LOMBOKWG 2,Z,312.0,42.0,PM,Sat Feb 15 00:00:00 CET 2020,2.0,POINT (173110 605110)
nappeilmerken.31,001H0057,172010.0,604720.0,1.836,BET-BAK VEEROOSTER REEWG,W,-23.0,-7.0,PM,Sat Feb 15 00:00:00 CET 2020,2.0,POINT (172010 604720)
nappeilmerken.32,001H0061,179640.0,607980.0,4.322,RD STEEN RD= 010307-14,,0.0,0.0,EG,Sat Feb 15 00:00:00 CET 2020,2.0,POINT (179640 607980)
nappeilmerken.33,001H0062,179650.0,607930.0,3.472,"HEKPOER HS """"KOOIHUS"""" WESTERPAD",N,11.0,23.0,PM,Sat Feb 15 00:00:00 CET 2020,2.0,POINT (179650 607930)
nappeilmerken.34,001H0063,179640.0,607930.0,3.352,"N-HEKPOER HS """"KOOIHUS"""", WESTERPAD",O,22.0,18.0,PM,Sat Feb 15 00:00:00 CET 2020,2.0,POINT (179640 607930)
nappeilmerken.35,001H0064,171836.0,605336.0,1.599,"DUIKERMUUR HOEK REEWG- LOMBOKWG,NO HOEK IN BOVENVLAK",,0.0,0.0,EG,Sat Feb 15 00:00:00 CET 2020,2.0,POINT (171836 605336)
nappeilmerken.36,001H0065,174730.0,605210.0,1.02,DR W-GRIEWG/Z-GRIEWG,O,-29.0,-6.0,PM,Sat Feb 15 00:00:00 CET 2020,2.0,POINT (174730 605210)
nappeilmerken.37,001H0068,177120.0,606370.0,2.713,MUUR WERKPLAATS OPENBARE WERKEN,Z,-24.0,22.0,PM,Sat Feb 15 00:00:00 CET 2020,2.0,POINT (177120 606370)
nappeilmerken.38,001H0069,178150.0,606690.0,2.143,NO BT HEKPAAL OM TRAFO B483,W,6.0,23.0,PM,Sun Mar 28 00:00:00 CET 2021,2.0,POINT (178150 606690)
nappeilmerken.39,001H0070,176270.0,606710.0,2.782,BT RASTERPAAL,O,6.0,16.0,PM,Sat Feb 15 00:00:00 CET 2020,2.0,POINT (176270 606710)
nappeilmerken.40,001H0071,172560.0,606650.0,3.579,BT RASTERPAAL,O,6.0,22.0,PM,Sat Feb 15 00:00:00 CET 2020,2.0,POINT (172560 606650)
nappeilmerken.41,001H0072,178830.0,606650.0,3.036,TRAFO INPANDIG SCHR ZZ VERBINDINGSWEG,W,142.0,40.0,PM,Sun Mar 28 00:00:00 CET 2021,2.0,POINT (178830 606650)
nappeilmerken.42,001H0073,175770.0,606810.0,3.323,VAKANTIEHUIS ZEPIA NR 403,W,20.0,5.0,PM,Sat Feb 15 00:00:00 CET 2020,2.0,POINT (175770 606810)
nappeilmerken.43,001H0074,174610.0,606660.0,3.435,KNTR BOUWBEDRIJF HOLLULUMERWEG 9,N,-15.0,5.0,PM,Sat Feb 15 00:00:00 CET 2020,2.0,POINT (174610 606660)
nappeilmerken.44,001H0075,171820.0,606510.0,3.022,BRANDWEER KAZERNE FABRIEKSWEG 28,N,-90.0,20.0,PM,Sat Feb 15 00:00:00 CET 2020,2.0,POINT (171820 606510)
nappeilmerken.45,001H0076,173230.0,606700.0,4.331,HS PIETJEMIEDEWEG 1A,W,96.0,50.0,PM,Sat Feb 15 00:00:00 CET 2020,2.0,POINT (173230 606700)
nappeilmerken.46,001H0078,179600.0,606700.0,1.553,"SCHR ANKER NABIJ WESTERPAD,A/D VERBINDINGSWEG",N,1.0,1.0,SA,Sun Mar 28 00:00:00 CET 2021,2.0,POINT (179600 606700)
nappeilmerken.47,001H0079,171380.0,605150.0,2.225,"BET DRINKBAK O/Z DIJK,50M Z VAN KERKEPAD",W,130.0,20.0,PM,Sat Feb 15 00:00:00 CET 2020,2.0,POINT (171380 605150)
nappeilmerken.48,001H0080,179570.0,607270.0,3.339,"BET DRINKBAK O/Z WESTERPAD,600MTR Z V 1H62",W,52.0,-20.0,PM,Sat Feb 15 00:00:00 CET 2020,2.0,POINT (179570 607270)
nappeilmerken.49,001H0081,174800.0,605990.0,1.531,STUW WZ RIDDERWEG T/O ZUIDERWEG,W,62.0,-5.0,PM,Sat Feb 15 00:00:00 CET 2020,2.0,POINT (174800 605990)
nappeilmerken.50,001H0082,176580.0,606690.0,3.021,"SCHR ANKER 3.1 M UIT FIETSPAD N-Z,VERBINDINGSWG, 2.1 M UIT FIETSPAD NAAR,HET NOORDEN",,0.0,0.0,SA,Sat Feb 15 00:00:00 CET 2020,2.0,POINT (176580 606690)
nappeilmerken.51,001H0084,176220.0,605580.0,1.832,DR O-Z ZUIDERGRIEWEG T/O LEGEMIEDEWEG,O,5.0,-10.0,GT,Sat Feb 15 00:00:00 CET 2020,2.0,POINT (176220 605580)
nappeilmerken.52,001H0085,179050.0,606200.0,2.173,"BT IN WATERBAK BIJ ZEEDIJK,X=179048.441, Y=606199.311",NW,40.0,-7.0,GT,Sat Feb 15 00:00:00 CET 2020,2.0,POINT (179050 606200)
nappeilmerken.53,001H0086,179971.0,606120.0,3.22,"MR WATERUITLAAT,""""Smitteweg, Nes""""",W,20.0,90.0,PM,Sat Feb 15 00:00:00 CET 2020,2.0,POINT (179971 606120)
nappeilmerken.54,001H0087,172220.0,605140.0,1.39,"STUW,""""Lombokweg 2, 9161 CL Hollum""""",N,20.0,-4.0,PM,Sat Feb 15 00:00:00 CET 2020,2.0,POINT (172220 605140)
nappeilmerken.55,002C0001,180050.0,606700.0,2.964,BDR BALLUMMERWG 23,N,93.0,20.0,PM,Sat Feb 15 00:00:00 CET 2020,2.0,POINT (180050 606700)
nappeilmerken.56,002C0006,181200.0,606940.0,4.181,LIJKENHUISJE ALG.BEGRAAFPLAATS,W,-15.0,20.0,PM,Sat Feb 15 00:00:00 CET 2020,2.0,POINT (181200 606940)
nappeilmerken.57,002C0023,184910.0,607050.0,3.562,"BDR HSNR. 1, 55M TEN Z V.KOOIWEG.",O,271.0,40.0,PM,Sat Feb 15 00:00:00 CET 2020,2.0,POINT (184910 607050)
nappeilmerken.58,002C0040,184170.0,607840.0,2.663,"2.78 O THV BT PL, SCHRFANKR ONDER STEEN  GPS-coord.x=184173.96 y=607843.27",,0.0,0.0,SA,Sat Feb 15 00:00:00 CET 2020,2.0,POINT (184170 607840)
nappeilmerken.59,002C0042,182850.0,606980.0,3.132,BDR KOOIWG 28,N,43.0,23.0,PM,Sat Feb 15 00:00:00 CET 2020,2.0,POINT (182850 606980)
nappeilmerken.60,002C0043,181980.0,606850.0,3.223,HS A/D WEG NES-BUREN NO.1,W,948.0,21.0,PM,Thu Jan 26 00:00:00 CET 2017,2.0,POINT (181980 606850)
nappeilmerken.61,002C0045,180130.0,606730.0,3.493,GEM A/D WEG NES-BALLUM,Z,158.0,31.0,PM,Sat Feb 15 00:00:00 CET 2020,2.0,POINT (180130 606730)
nappeilmerken.62,002C0082,189640.0,609010.0,2.796,"HOUTEN HOOFDPAAL 22.000, MET INGEHAKT,NR: 2C82",,0.0,-50.0,PM,Sat Feb 15 00:00:00 CET 2020,2.0,POINT (189640 609010)
nappeilmerken.63,002C0083,188850.0,607760.0,6.767,"HOUTENPAAL 29.000, I 540 MET INGEHAKT,NR: 2C83",,0.0,-50.0,PM,Sat Feb 15 00:00:00 CET 2020,2.0,POINT (188850 607760)
nappeilmerken.64,002C0084,187710.0,607340.0,1.902,"HOUTENPAAL 30.200, I 400 MET INGEHAKT,NR: 2C84",,0.0,-50.0,PM,Sat Feb 15 00:00:00 CET 2020,2.0,POINT (187710 607340)
nappeilmerken.65,002C0085,186550.0,607070.0,3.301,"HOUTENPAAL 31.400, I 400 MET INGEHAKT,NR: 2C85",,0.0,-50.0,PM,Sat Feb 15 00:00:00 CET 2020,2.0,POINT (186550 607070)
nappeilmerken.66,002C0086,185940.0,608390.0,2.205,"HOUTENPAAL LANGS HET PAD KOEIOERD STUIF-,DK MET INGEHAKT NR: 2C86",,0.0,-50.0,PM,Sat Feb 15 00:00:00 CET 2020,2.0,POINT (185940 608390)
nappeilmerken.67,002C0087,187020.0,608370.0,2.091,"HOUTENPAAL LANGS HET PAD KOEIOERD STUIF-,DK MET INGEHAKT NR: 2C87",,0.0,-50.0,PM,Sat Feb 15 00:00:00 CET 2020,2.0,POINT (187020 608370)
nappeilmerken.68,002C0096,184180.0,607160.0,2.787,"STAL BDR KOOIWG,METERBAAK NODIG!",W,110.0,25.0,PM,Sat Feb 15 00:00:00 CET 2020,2.0,POINT (184180 607160)
nappeilmerken.69,002C0098,182690.0,607550.0,3.689,TRAFO KLEIN VAARWATERWG,N,92.0,12.0,PM,Sat Feb 15 00:00:00 CET 2020,2.0,POINT (182690 607550)
nappeilmerken.70,002C0100,180850.0,607300.0,4.09,HS STRANDWG 46,N,73.0,32.0,PM,Sat Feb 15 00:00:00 CET 2020,2.0,POINT (180850 607300)
nappeilmerken.71,002C0101,184840.0,608410.0,3.618,"BET-POER N-Z PAD TUSSEN KOOIOERDSTUIFDK/,AFRASTERING",Z,0.0,0.0,PM,Sat Feb 15 00:00:00 CET 2020,2.0,POINT (184840 608410)
nappeilmerken.72,002C0103,181010.0,606780.0,4.834,"RKK NES AMELAND, ZO-KERKVL (RD-VAST.12),METERBAAK!",ZO,-11.0,129.0,PM,Sat Feb 15 00:00:00 CET 2020,2.0,POINT (181010 606780)
nappeilmerken.73,002C0105,181180.0,607990.0,18.635,PILAAR DE KAAP AMELAND (RD-11-029101),W,42.0,60.0,PM,Sat Feb 15 00:00:00 CET 2020,2.0,POINT (181180 607990)
nappeilmerken.74,002C0109,180730.0,606060.0,2.257,GB ''DE AMELANDER'' A/D REEWG 2A,NW,265.0,55.0,PM,Sat Feb 15 00:00:00 CET 2020,2.0,POINT (180730 606060)
nappeilmerken.75,002C0111,183690.0,607020.0,2.226,"SCH LANGS FIETSPAD TUSSEN MIDDENWG,KOOIWG",N,70.0,30.0,PM,Sat Feb 15 00:00:00 CET 2020,2.0,POINT (183690 607020)
nappeilmerken.76,002C0112,189010.0,608520.0,3.606,"BT BOVENKANT ANWB PADDESTOELNR:21771,MERK IS ONBETROUWBAAR, PUNT KAN VERPLAATST ZIJN.",,11.0,0.0,PM,Sat Feb 15 00:00:00 CET 2020,2.0,POINT (189010 608520)
nappeilmerken.77,002C0118,188050.0,600770.0,1.794,"VERTIKALE BT IN GPS-STEEN ONDERKANT,TALUD Z-Z PARKEERPLAATS,X=188045.52 Y=600784.53",,0.0,0.0,EG,Wed Jul 08 00:00:00 CEST 2015,2.0,POINT (188050 600770)
nappeilmerken.78,002C0120,187820.0,601044.0,3.79,GB RWS A/D VEERDAM GRANDK 2,NO,388.0,19.0,PM,Wed Aug 01 00:00:00 CEST 2018,2.0,POINT (187820 601044)
nappeilmerken.79,002C0121,189221.0,608080.0,20.333,BT IN RD-STEEN BIJ UITKIJK,ZO,-14.0,-14.0,PM,Sat Feb 15 00:00:00 CET 2020,2.0,POINT (189221 608080)
nappeilmerken.80,002C0123,183680.0,607150.0,2.963,"HOOGTE ZEER ONBETROUWBAAR, PUNT KAN VERPLAATST ZIJN. ANWB PADDESTOEL NR:21419",,0.0,0.0,GT,Sat Feb 15 00:00:00 CET 2020,2.0,POINT (183680 607150)
nappeilmerken.81,002C0124,180060.0,606460.0,2.956,GB WATERLEIDING RONDWG 18,Z,-33.0,31.0,PM,Sat Feb 15 00:00:00 CET 2020,2.0,POINT (180060 606460)
nappeilmerken.82,002C0126,188014.0,600718.0,2.202,BT IN BET VOET SLAGBOOM,W,-50.0,-15.0,PM,Wed Aug 01 00:00:00 CEST 2018,2.0,POINT (188014 600718)
nappeilmerken.83,002C0128,189219.0,608080.0,20.478,RD STEEN RD= 029202-14,,0.0,0.0,EG,Sat Feb 15 00:00:00 CET 2020,2.0,POINT (189219 608080)
nappeilmerken.84,002C0129,188150.0,608320.0,3.313,"HOUTENPL LANGS HET PAD KOEIOERD STUIFDK,INGEHAKT 2C129",N,-49.0,0.0,PM,Sat Feb 15 00:00:00 CET 2020,2.0,POINT (188150 608320)
nappeilmerken.85,002C0131,184450.0,606420.0,2.185,VOORM. TRAFOGEB.,W,-21.0,53.0,GT,Sat Feb 15 00:00:00 CET 2020,2.0,POINT (184450 606420)
nappeilmerken.86,002C0132,187670.0,601105.0,1.847,BETONRAND AAN EINDE PIER,Z,400.0,-14.0,PM,Wed Aug 01 00:00:00 CEST 2018,2.0,POINT (187670 601105)
nappeilmerken.87,002C0133,183620.0,607650.0,3.39,"GB WASHOK CAMPING """"KLEIN VAARWATER""""",Z,-20.0,6.0,GT,Sat Feb 15 00:00:00 CET 2020,2.0,POINT (183620 607650)
nappeilmerken.88,002C0134,181480.0,608010.0,4.285,"HS """"TJEMARA SEWOE"""" BOSRAND 104",N,31.0,16.0,GT,Sat Feb 15 00:00:00 CET 2020,2.0,POINT (181480 608010)
nappeilmerken.89,002C0135,182290.0,607830.0,4.205,"APPARTEMENT """"VLEIJENHOF""""",N,22.0,12.0,GT,Sat Feb 15 00:00:00 CET 2020,2.0,POINT (182290 607830)
nappeilmerken.90,002C0136,180890.0,607990.0,4.28,PAAL 13 BIJ CAFE REST,O,-30.0,17.0,GT,Sat Feb 15 00:00:00 CET 2020,2.0,POINT (180890 607990)
nappeilmerken.91,002C0137,183640.0,607130.0,2.22,"GB MEERVAL KWEKERIJ, KOOIWEG",N,73.0,4.0,GT,Sat Feb 15 00:00:00 CET 2020,2.0,POINT (183640 607130)
nappeilmerken.92,002C0143,189220.0,607900.0,2.835,"NOORD PAAL HEKWER (DRAAIHEK),NABIJ TRAP OERDBLINKERT",N,7.0,30.0,GT,Sat Feb 15 00:00:00 CET 2020,2.0,POINT (189220 607900)
nappeilmerken.93,002C0144,187450.0,607980.0,1.702,NO PIJLER BG OVER OERDSLOOT,W,5.0,-12.0,PM,Sat Feb 15 00:00:00 CET 2020,2.0,POINT (187450 607980)
nappeilmerken.94,002C0146,180560.0,607980.0,3.715,KETELHUISJE OP CAMPING,N,146.0,12.0,PM,Sat Feb 15 00:00:00 CET 2020,2.0,POINT (180560 607980)
nappeilmerken.95,002C0148,189000.0,608490.0,3.031,GRONDANKER,BV,0.0,0.0,SA,Sat Feb 15 00:00:00 CET 2020,2.0,POINT (189000 608490)
nappeilmerken.96,002C0149,189640.0,608980.0,2.34,GR.ANKER NABIJ PL 22,BV,0.0,0.0,SA,Sat Feb 15 00:00:00 CET 2020,2.0,POINT (189640 608980)
nappeilmerken.97,002C0150,189240.0,608140.0,13.328,BT IN BET VOET INFO HUT/ OERDHUT,N,12.0,-14.0,PM,Sat Feb 15 00:00:00 CET 2020,2.0,POINT (189240 608140)
nappeilmerken.98,002C0151,188499.0,607540.0,1.987,HOUTEN PL NR29.400,W,0.0,-79.0,PM,Sat Feb 15 00:00:00 CET 2020,2.0,POINT (188499 607540)
nappeilmerken.99,002C0152,180699.0,605300.0,2.126,BT IN BET RAND N-Z PIER,N,60.0,-15.0,GT,Sat Feb 15 00:00:00 CET 2020,2.0,POINT (180699 605300)
nappeilmerken.100,002C0153,181660.0,607720.0,4.943,"PILAAR ZWARTEWEG 42, Buren""""",Z,-22.0,20.0,PM,Sat Feb 15 00:00:00 CET 2020,2.0,POINT (181660 607720)
nappeilmerken.101,002C0154,185740.0,606880.0,5.682,"VEEROOSTER KOOIDUINWEG,""""Kooiweg, Buren""""",NO,27.0,-5.0,PM,Sat Feb 15 00:00:00 CET 2020,2.0,POINT (185740 606880)
nappeilmerken.102,002C0155,183700.0,606080.0,2.433,"VEEROOSTER SCHOUWPAD ZEEWERING, OUDE GRAZINGWEG BUREN",ZW,-26.0,-3.0,PM,Sat Feb 15 00:00:00 CET 2020,2.0,POINT (183700 606080)
nappeilmerken.103,002C0156,183030.0,605940.0,3.015,"MR WATERUITLAAT,""""Reeweg, Buren""""",W,18.0,80.0,PM,Sat Feb 15 00:00:00 CET 2020,2.0,POINT (183030 605940)
nappeilmerken.104,002C0157,182030.0,605860.0,2.295,"DRINKBAK,""""Reeweg, Buren""""",W,10.0,-8.0,PM,Sat Feb 15 00:00:00 CET 2020,2.0,POINT (182030 605860)
nappeilmerken.105,002C0158,181020.0,605860.0,2.259,"DRINKBAK,""""Oude Steiger, 9163 GV Nes""""",W,8.0,-6.0,PM,Sat Feb 15 00:00:00 CET 2020,2.0,POINT (181020 605860)
nappeilmerken.106,002C0159,181970.0,606810.0,3.294,"GML PASTOOR SCHOLTENWEG 2B,Buren""""",N,17.0,24.0,PM,Sat Feb 15 00:00:00 CET 2020,2.0,POINT (181970 606810)
nappeilmerken.107,002C0160,180520.0,606650.0,4.512,"TOREN NES,""""Torenstraat 2, 9163 HE Nes",ZW,-182.0,23.0,PM,Sat Feb 15 00:00:00 CET 2020,2.0,POINT (180520 606650)
nappeilmerken.108,002C0161,189670.0,609020.0,1.746,SONDEERSTANG 7M LENGTE X=189678.235 Y=609021.764 STUIFDIJKPAD BUREN,,0.0,0.0,EG,Sat Feb 15 00:00:00 CET 2020,2.0,POINT (189670 609020)
nappeilmerken.109,002D0004,193377.0,600365.0,2.142,BDR 'T SCHOOR 2,NW,31.0,30.0,PM,Wed Aug 01 00:00:00 CEST 2018,2.0,POINT (193377 600365)
nappeilmerken.110,002D0007,196439.0,600916.0,1.175,BDR WIERUM: 33,W,-347.0,40.0,PM,Wed Aug 01 00:00:00 CEST 2018,2.0,POINT (196439 600916)
nappeilmerken.111,002D0010,199385.0,600484.0,1.378,HS NIJKERKSTERWG 16,O,495.0,60.0,PM,Wed Aug 01 00:00:00 CEST 2018,2.0,POINT (199385 600484)
nappeilmerken.112,002D0011,194637.0,601106.0,0.896,SCH VAN BDR 'T SCHOOR 4,N,27.0,42.0,PM,Wed Aug 01 00:00:00 CEST 2018,2.0,POINT (194637 601106)
nappeilmerken.113,002D0012,196802.0,601902.0,2.648,GEM-HS WIERUM: 2   RD= 029308-13,NW,-543.0,30.0,PM,Wed Aug 01 00:00:00 CEST 2018,2.0,POINT (196802 601902)
nappeilmerken.114,002D0015,197953.0,601886.0,1.028,HS NESSERWG 2,N,-407.0,50.0,PM,Wed Aug 01 00:00:00 CEST 2018,2.0,POINT (197953 601886)
nappeilmerken.115,002D0016,198805.0,601327.0,1.833,GK NES,NO,53.0,26.0,PM,Wed Aug 01 00:00:00 CEST 2018,2.0,POINT (198805 601327)
nappeilmerken.116,002D0017,198969.0,601322.0,3.035,"HK NES, IN STEUNBEER",ZW,-32.0,36.0,PM,Wed Aug 01 00:00:00 CEST 2018,2.0,POINT (198969 601322)
nappeilmerken.117,002D0021,199944.0,602363.0,1.297,SCH BDR MODDERGAT 5,NO,-475.0,37.0,PM,Wed Aug 01 00:00:00 CEST 2018,2.0,POINT (199944 602363)
nappeilmerken.118,002D0024,193820.0,600714.0,1.223,"BDR DE WOESTE HOEVE,'T SCHOOR 14",N,64.0,21.0,PM,Wed Aug 01 00:00:00 CEST 2018,2.0,POINT (193820 600714)
nappeilmerken.119,002D0025,197223.0,600108.0,1.705,"BDR WIESTERWG 21,NES",NO,-78.0,53.0,PM,Wed Aug 01 00:00:00 CEST 2018,2.0,POINT (197223 600108)
nappeilmerken.120,002D0030,199097.0,601308.0,2.148,HS VOORSTR 23 NES,ZW,97.0,36.0,PM,Wed Aug 01 00:00:00 CEST 2018,2.0,POINT (199097 601308)
nappeilmerken.121,002D0051,193170.0,608010.0,0.387,"WADHOOGTEMERK MAD107-N, 5M N VAN 2D052,X=193178.324, Y=608013.951  VOOR HOEKEN TBV.PLAATSBEPALING ZIE 2D052",,0.0,0.0,WP,Sat Feb 15 00:00:00 CET 2020,2.0,POINT (193170 608010)
nappeilmerken.122,002D0052,193180.0,608000.0,0.273,"WADHOOGTEMERK MAD107-C,,X=193178.500, Y=608008.964  X=193179,3 NB=53GRADEN 27'28"""" N=172.53,Y=608009,0 OL=05GRADEN 57'48"""" O=058.21,HOEKEN TBV PLAATSBEPALING OOSTPUNT,AMELAND:L.T.S'OOG  57,7947 HK PESENS,HK PESENS       25,3217 HK WIERUM,HK WIERUM",,0.0,0.0,WP,Sat Feb 15 00:00:00 CET 2020,2.0,POINT (193180 608000)
nappeilmerken.123,002D0053,193160.0,608000.0,0.392,"WADHOOGTEMERK MAD107-Z, 10M Z VAN 2D052,X=193178.794, Y=607999.352  HOEKEN TBV. PLAATSBEPALING OOSTPUNT,AMELAND ZIE 2D052",,0.0,0.0,WP,Sat Feb 15 00:00:00 CET 2020,2.0,POINT (193160 608000)
nappeilmerken.124,002D0069,191950.0,608320.0,1.982,"HOUTEN HOOFDPAAL 25.800, MET INGEHAKT,NR: 2D69",,0.0,-50.0,PM,Sat Feb 15 00:00:00 CET 2020,2.0,POINT (191950 608320)
nappeilmerken.125,002D0070,191630.0,608830.0,2.431,"HOUTEN HOOFDPAAL 24.000, MET INGEHAKT,NR: 2D70",,0.0,-50.0,PM,Sat Feb 15 00:00:00 CET 2020,2.0,POINT (191630 608830)
nappeilmerken.126,002D0072,192600.0,608440.0,1.684,"HOUTENPAAL 25.000, I 300 MET INGEHAKT,NR: 2D72",,0.0,-50.0,PM,Sat Feb 15 00:00:00 CET 2020,2.0,POINT (192600 608440)
nappeilmerken.127,002D0073,192640.0,608940.0,1.424,"HOUTENPAAL 25.000, ZI 200 MET INGEHAKT,NR: 2D73",,0.0,-50.0,PM,Sat Feb 15 00:00:00 CET 2020,2.0,POINT (192640 608940)
nappeilmerken.128,002D0074,190790.0,608220.0,1.824,"HOUTENPAAL 27.02, I 540 MET INGEHAKT,NR: 2D74",,0.0,-50.0,PM,Sat Feb 15 00:00:00 CET 2020,2.0,POINT (190790 608220)
nappeilmerken.129,002D0075,190020.0,608030.0,1.46,"HOUTENPAAL 27.800, I 540 MET INGEHAKT,NR: 2D75",,0.0,-50.0,PM,Sat Feb 15 00:00:00 CET 2020,2.0,POINT (190020 608030)
