FID,peilmerk,x_rd,y_rd,nap_hoogte,pub_tekst,muurvlak,x_muur_cm,y_muur_cm,type,meetdatum,orde,geom
nappeilmerken.798,005G0319,165790.0,577530.0,1.352,BR I/D STATIONSWEG,NO,14.0,-16.0,GT,Thu Nov 01 00:00:00 CET 2018,2.0,POINT (165790 577530)
nappeilmerken.799,005G0320,166920.0,584180.0,2.026,BR I/D CAMSTRAWEI,NO,25.0,50.0,PM,Mon Feb 01 00:00:00 CET 2021,2.0,POINT (166920 584180)
nappeilmerken.800,005G0321,168640.0,584910.0,1.349,HS FERNIAWEI/TILLEDIJK 1,NO,20.0,15.0,PM,Mon Feb 01 00:00:00 CET 2021,2.0,POINT (168640 584910)
nappeilmerken.801,005G0322,161960.0,580370.0,0.177,TRAFO JUCKEMALEANE 15,ZW,25.0,10.0,PM,Mon Feb 01 00:00:00 CET 2021,2.0,POINT (161960 580370)
nappeilmerken.802,005G0323,166919.0,584180.0,-0.463,DR O/D MUNTSE WEI W-Z,W,100.0,-10.0,PM,Mon Feb 01 00:00:00 CET 2021,2.0,POINT (166919 584180)
nappeilmerken.803,005G0324,165240.0,584000.0,1.451,BT IN ERFSCHEIDINGSMR 23,NO,94.0,18.0,PM,Mon Feb 01 00:00:00 CET 2021,2.0,POINT (165240 584000)
nappeilmerken.804,005G0325,168000.0,575770.0,0.444,I/D DAM A/D WELSRIJPERWG FIETSPAD,N,-100.0,-5.0,PM,Wed Aug 01 00:00:00 CEST 2018,2.0,POINT (168000 575770)
nappeilmerken.805,005G0326,169020.0,575510.0,0.142,IN DAM AAN FIETSPAD  SUDERPOLDERWEI,W,370.0,-7.0,PM,Wed Aug 01 00:00:00 CEST 2018,2.0,POINT (169020 575510)
nappeilmerken.806,005G0327,162810.0,578210.0,-0.526,DAM W-Z LEANE,N,48.0,-1.0,PM,Wed Aug 01 00:00:00 CEST 2018,2.0,POINT (162810 578210)
nappeilmerken.807,005G0328,161630.0,575880.0,0.843,BT IN DR SLACHTERDYK,Z,-9.0,-5.0,PM,Thu Nov 01 00:00:00 CET 2018,2.0,POINT (161630 575880)
nappeilmerken.808,005G0329,160030.0,575940.0,0.639,HS LUDINGAWEG 36,ZW,-20.0,20.0,PM,Thu Nov 01 00:00:00 CET 2018,2.0,POINT (160030 575940)
nappeilmerken.809,005G0330,160110.0,576290.0,1.183,HS KOETILLE 8,NO,40.0,15.0,PM,Thu Nov 01 00:00:00 CET 2018,2.0,POINT (160110 576290)
nappeilmerken.810,005G0331,160880.0,576420.0,0.675,"HS KOETILLE 12,",Z,359.0,20.0,PM,Thu Nov 01 00:00:00 CET 2018,2.0,POINT (160880 576420)
nappeilmerken.811,005G0332,161040.0,576460.0,1.247,SCH KOETILLE 14,N,65.0,20.0,PM,Thu Nov 01 00:00:00 CET 2018,2.0,POINT (161040 576460)
nappeilmerken.812,005G0333,161770.0,576490.0,-0.618,N-O VAN DKR O/D KOETILLE,,0.0,0.0,SA,Thu Nov 01 00:00:00 CET 2018,2.0,POINT (161770 576490)
nappeilmerken.813,005G0334,162140.0,576420.0,-0.582,KRUIZING HERBAIJUMERWEG / KOETILLE,,0.0,0.0,SA,Thu Nov 01 00:00:00 CET 2018,2.0,POINT (162140 576420)
nappeilmerken.814,005G0335,162770.0,576730.0,0.224,KRUIZING HERBAIJUMERWEG / KIE,,0.0,0.0,SA,Thu Nov 01 00:00:00 CET 2018,2.0,POINT (162770 576730)
