,X,Y,WAARNEMINGDATUM,NUMERIEKEWAARDE
0,526187,5692072,2018,3.5612848689771766
1,530529,5707906,2018,5.206360946745562
2,538287,5694858,2018,5.538115631691649
3,541425,5699181,2018,7.464497041420119
4,544570,5714696,2018,-30.34743923611111
5,546689,5730284,2018,8.40728051391863
6,547219,5718950,2018,4.230769230769231
7,547517,5718898,2018,5.528846153846154
8,548021,5722952,2018,5.872162740899357
9,548581,5707508,2018,-30.065321180555557
10,552708,5695847,2018,11.965096359743042
11,556017,5733628,2018,10.527998862990335
12,556380,5675741,2018,216.39908854166666
13,556602,5687667,2018,16.48394097222222
14,557108,5687533,2018,16.516906170752325
15,558233,5682809,2018,219.25368923611111
16,559271,5746165,2018,7.247441728254691
17,559833,5710645,2018,-28.99392361111111
18,560012,5710671,2018,7.090471092077088
19,567116,5695350,2018,17.767344753747324
20,567274,5732426,2018,-20.772135416666668
21,568360,5757300,2018,5.268174133558749
22,569191,5760650,2018,11.54665798611111
23,569683,5716519,2018,8.439983093829248
24,569978,5699855,2018,20.83030431107354
25,570710,5757331,2018,11.244505494505495
26,571218,5742305,2018,21.73758029978587
27,571389,5694632,2018,21.29593147751606
28,571676,5753731,2018,11.624894336432797
29,574616,5706661,2018,7.244432548179872
30,575133,5757544,2018,12.247464074387151
31,576116,5754686,2018,14.854395604395604
32,576756,5691113,2018,24.518522483940043
33,576843,5717533,2018,10.043147751605996
34,576917,5759136,2018,17.88282234355313
35,577763,5741589,2018,58.741625277396174
36,579147,5723770,2018,9.892328825021133
37,579806,5757030,2018,18.506049898276046
38,580896,5707333,2018,8.882924767540151
39,581080,5692490,2018,24.326873661670234
40,582772,5703850,2018,8.962098501070663
41,583248,5715522,2018,10.758246527777779
42,583307,5750805,2018,20.33748943364328
43,584172,5694908,2018,25.052409129332208
44,584558,5750159,2018,12.021132713440405
45,584630,5749656,2018,18.65017966603255
46,585151,5702016,2018,9.985894097222221
47,585554,5697845,2018,9.496744791666666
48,585954,5752601,2018,24.47136842105263
49,586100,5695669,2018,185.61219618055554
50,586550,5772806,2018,9.805982725932168
51,588178,5688400,2018,26.05425347222222
52,588452,5740189,2018,59.93706597222222
53,589642,5683578,2018,35.45916594265856
54,590045,5746981,2018,23.67871485943775
55,590411,5749466,2018,23.146269287677026
56,590594,5680409,2018,34.94441934026209
57,591082,5723262,2018,11.5885564533741
58,591856,5746493,2018,33.97083377364472
59,592817,5750735,2018,33.025365750973585
60,596608,5726642,2018,11.78146701388889
61,597556,5749665,2018,25.45097210481826
62,597746,5676059,2018,37.781901041666664
63,598252,5728077,2018,60.98732037193576
64,600028,5743160,2018,45.13274149228493
65,600742,5751656,2018,26.681318681318682
66,603100,5813724,2018,7.645182291666667
67,603140,5753205,2018,37.89006942983379
68,605633,5813598,2018,12.989642781652927
69,608561,5752923,2018,47.39955733558179
70,608822,5814553,2018,-45.089626736111114
