,index,X,Y,land_height,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
0,0,526187,5692072,991.0,-5.392117497886729,-3.267279644895371,0.9974640743871512,-2.3108622147083686,-2.904268808114962,4.282075671105474,2.092676740991229,-1.5353972950126795,3.561284868977177,2.934157683365039,2.706796321741888,2.17029490616622,-2.0558021559923905
1,1,530529,5707906,1713.0,-4.1976965342349954,-2.129042485732404,2.592138630600169,-1.246724429416737,-1.2919484361792055,6.475480870851828,3.811793300221917,0.2625739644970414,5.206360946745562,4.352039737898965,4.433872502378687,3.2913090128755367,0.3699006552525893
2,2,538287,5694858,1010.0,-3.105139186295504,-0.6510333012099797,3.064561027837259,-0.4856531049250535,-0.8629550321199143,7.072277545775779,5.652462526766596,0.2267665952890792,5.538115631691649,5.314915943891209,4.08801798907806,1.4395042800562157,-0.4002535925612848
3,3,541425,5699181,922.0000000000001,-2.58865096359743,-0.2363136757556542,4.553571428571429,0.2161876584953508,-0.4167371090448014,8.759353202282815,5.713229078613694,1.4321639898562974,7.464497041420119,5.888818431621222,5.81135066582118,,
4,4,544570,5714696,702.0,-52.81792534722222,-41.982638888888886,-32.42372413793103,-29.65386284722222,-30.682291666666668,-30.230718811448547,-28.76953125,-28.56293402777778,-30.34743923611111,-30.74457465277778,-29.72677951388889,-27.39605734767025,-27.24001736111111
5,5,546689,5730284,1496.0,-1.7289079229122055,0.4203876218010494,4.657601713062099,-0.0983940042826552,-0.0349036402569593,8.789592033408288,5.35085653104925,3.034475374732334,8.40728051391863,8.31952029125174,8.256879751579397,6.801000434971727,3.6297548605240912
6,6,547219,5718950,522.0,-4.435756551141167,-1.8109279222151764,2.8466821639898563,-1.8557692307692308,-2.012256973795435,6.243394631156204,2.253426124197002,-0.6968607969559243,4.230769230769231,4.143310082435003,3.498837455083492,2.4535706626635214,-0.5701606086221471
7,7,547517,5718898,1492.0,-2.713334742180896,-0.3120245139475909,4.070266272189349,-0.6545127879940816,-1.0451183431952662,7.471570492496301,3.648985629754861,1.6180511519763263,5.528846153846154,6.263897696047347,4.77863482671175,4.048573879476732,0.9070160608622148
8,8,548021,5722952,817.0,-6.9326068253513045,-3.6694629669462966,1.686509635974304,-2.5455032119914347,-2.0507494646680944,6.5523075275725455,3.744539614561028,0.7752676659528908,5.872162740899357,5.504443730592141,5.115215761858871,3.692040017398869,-1.507185122569738
9,9,548581,5707508,65.0,-51.46879240162822,-42.298828125,-33.003689236111114,-29.93569347972216,-31.60959201388889,-30.79637317019882,-30.02170138888889,-29.297526041666668,-30.06532118055556,-30.408854166666668,-29.35947002606429,,
10,10,552708,5695847,917.0,2.315845824411135,5.119284719991434,9.642826552462529,5.408073669557768,4.570021413276232,13.28664739265446,9.810278372591007,6.259207708779443,11.965096359743042,9.983081700396188,8.499250214224507,8.871729888816219,6.800295857988166
11,11,556017,5733628,1304.0,-3.6875400270404897,-1.4036247334754797,5.661881750994883,-1.5022740193291644,-2.2439776312016058,13.055686949043215,7.557063672541217,3.791927231381466,10.527998862990335,13.288557213930348,11.363929723915382,9.459669229653272,1.7713440405748098
12,12,556602,5687667,873.0,0.2923177083333333,5.462456597222222,15.06618923611111,7.992404513888889,4.861328125,24.18706597222222,,9.895616319444445,16.48394097222222,20.01088139281828,18.637369791666668,,
13,13,557074,5686208,395.0,214.405,217.18185763888889,217.49392361111111,,,,,,,,,,
14,14,557108,5687533,825.0,5.997569737954353,8.135383639822448,13.43385460693153,9.283630983831763,8.212278106508876,17.25597125343479,13.758453085376162,10.252852916314454,16.516906170752325,13.591735362502645,14.292010145846543,14.478386785369516,10.476754015215551
15,15,557210,5686344,543.0,217.11371527777777,217.4173177083333,217.61306423611111,218.7649739583333,219.44552951388889,221.29166666666663,220.16286789112635,,,,,,
