,X,Y,WAARNEMINGDATUM,NUMERIEKEWAARDE
0,516800,5705870,2022,1.5894097222222223
1,516807,5705870,2022,-2.9160853942084124
2,526187,5692072,2022,-2.0558021559923905
3,526380,5692139,2022,10.937336244541484
4,530529,5707906,2022,0.3699006552525893
5,530586,5708023,2022,11.309027777777779
6,533236,5721474,2022,29.89652914210871
7,533286,5721427,2022,-0.5171174978867287
8,538128,5694617,2022,15.950010867202781
9,538287,5694858,2022,-0.40025359256128484
10,541518,5699254,2022,13.948567708333334
11,544570,5714696,2022,-27.24001736111111
12,546063,5752991,2022,13.374863864081899
13,546689,5730284,2022,3.6297548605240912
14,546744,5730119,2022,18.33940972222222
15,547219,5718950,2022,-0.5701606086221471
16,547224,5718947,2022,12.641242937853107
17,547230,5718947,2022,14.483289930555555
18,547517,5718898,2022,0.9070160608622148
19,547527,5718895,2022,13.134114583333334
20,548004,5722993,2022,16.872938368055557
21,548021,5722952,2022,-1.507185122569738
22,548589,5707494,2022,-30.01193576388889
23,552708,5695847,2022,6.800295857988166
24,552708,5695847,2022,16.75173611111111
25,556017,5733628,2022,1.7713440405748098
26,556245,5733151,2022,25.32052951388889
27,556380,5675741,2022,229.93289473684212
28,556607,5687689,2022,23.36154513888889
29,557010,5733398,2022,30.59201388888889
30,557108,5687533,2022,10.476754015215553
31,557114,5687543,2022,25.271326242674192
32,557117,5733358,2022,-17.75217013888889
33,558209,5682908,2022,222.70540951553335
34,559271,5746165,2022,1.8522823330515639
35,559821,5710640,2022,-28.803602430555557
36,559971,5710455,2022,-28.309678819444443
37,560002,5710674,2022,15.44552951388889
38,560012,5710671,2022,3.008664412510566
39,560102,5710490,2022,15.901041666666666
40,567116,5695350,2022,25.16037326388889
41,567116,5695350,2022,13.636306001690617
42,567273,5732426,2022,-18.584059233449477
43,568360,5757300,2022,5.140743871513102
44,568361,5757300,2022,19.47376611827479
45,569316,5699858,2022,29.99761284722222
46,569321,5699870,2022,29.93327518534671
47,569683,5716519,2022,4.045435333896872
48,569683,5716519,2022,15.542770299609206
49,569978,5699855,2022,15.209213863060016
50,570710,5757331,2022,11.110524091293321
51,571218,5742305,2022,8.001267962806425
52,571218,5742305,2022,27.761363636363637
53,571389,5694632,2022,13.184911242603551
54,571389,5694632,2022,31.60329861111111
55,571676,5753731,2022,11.478233305156381
56,574394,5706875,2022,13.49587673611111
57,574616,5706661,2022,3.223795435333897
58,575133,5757544,2022,12.102493660185967
59,575133,5757544,2022,18.532618409294013
60,576116,5754686,2022,14.719568892645816
61,576742,5691085,2022,32.882161458333336
62,576756,5691113,2022,18.154902789518175
63,576843,5717533,2022,6.396449704142012
64,576844,5717534,2022,16.921069797782128
65,576913,5759131,2022,26.70209515495417
66,576917,5759136,2022,11.979289940828401
67,576917,5759136,2022,26.29296875
68,577763,5741589,2022,54.47981399281336
69,578158,5741741,2022,63.93055555555556
70,579010,5723754,2022,16.79205827067669
