,X,Y,WAARNEMINGDATUM,NUMERIEKEWAARDE
0,526187,5692072,2015,4.282075671105474
1,530529,5707906,2015,6.475480870851828
2,538287,5694858,2015,7.072277545775779
3,541425,5699181,2015,8.759353202282815
4,544570,5714696,2015,-30.230718811448547
5,546689,5730284,2015,8.789592033408288
6,547219,5718950,2015,6.243394631156204
7,547517,5718898,2015,7.471570492496301
8,548021,5722952,2015,6.5523075275725455
9,548581,5707508,2015,-30.79637317019882
10,552708,5695847,2015,13.28664739265446
11,556017,5733628,2015,13.055686949043217
12,556380,5675741,2015,220.55598958333334
13,556602,5687667,2015,24.18706597222222
14,557108,5687533,2015,17.25597125343479
15,557210,5686344,2015,221.29166666666666
16,558233,5682809,2015,220.79817708333334
17,559271,5746165,2015,10.982906446711526
18,559833,5710645,2015,-29.8064234214551
19,560012,5710671,2015,9.117999785844308
20,567116,5695350,2015,20.19605953528215
21,567274,5732426,2015,-15.32176759410802
22,568360,5757300,2015,4.804497189256715
23,569191,5760650,2015,10.88259548611111
24,569683,5716519,2015,10.777977385607102
25,569978,5699855,2015,22.8711688860706
26,570710,5757331,2015,11.495032762629465
27,571218,5742305,2015,17.62137273798051
28,571389,5694632,2015,21.833922261484098
29,571676,5753731,2015,12.861128725428028
30,574616,5706661,2015,8.954491915622658
31,575133,5757544,2015,11.532234199957726
32,575378,5758394,2015,11.518072289156626
33,576116,5754686,2015,14.173747622067216
34,576756,5691113,2015,24.903308705428845
35,576843,5717533,2015,18.87673611111111
36,576917,5759136,2015,19.319575719386684
37,577010,5756544,2015,14.426548298456986
38,577763,5741589,2015,60.2285986049461
39,578243,5757457,2015,11.3713802578736
40,579147,5723770,2015,12.416886822360773
41,579536,5725984,2015,-12.350477430555555
42,579806,5757030,2015,30.18511284722222
43,579968,5753920,2015,17.989008666243922
44,580896,5707333,2015,9.586345381526105
45,581080,5692490,2015,24.693543205910697
46,582772,5703850,2015,9.998179676624906
47,583248,5715522,2015,5.300998263888889
48,583307,5750805,2015,19.68103994927077
49,584172,5694908,2015,25.856689917564996
50,584558,5750159,2015,11.265060240963855
51,584630,5749656,2015,18.007398013105053
52,585151,5702016,2015,4.738444687842279
53,585554,5697845,2015,4.583132530120482
54,585954,5752601,2015,25.307894736842105
55,586550,5772806,2015,12.400358120918474
56,588178,5688400,2015,34.943044906900326
57,588343,5792203,2015,1.5113083914605792
58,588452,5740189,2015,62.478515625
59,589642,5683578,2015,36.01498696785404
60,590045,5746981,2015,22.06150919467343
61,590411,5749466,2015,22.51004016064257
62,590594,5680409,2015,37.51693989071038
63,591082,5723262,2015,6.939453125
64,591856,5746493,2015,33.93352356795604
65,592817,5750735,2015,32.99631734006734
66,596608,5726642,2015,7.308810763888889
67,597556,5749665,2015,24.843373493975903
68,597746,5676059,2015,39.54253472222222
69,598252,5728077,2015,61.73124075248362
70,600028,5743160,2015,44.331113929401816
71,600742,5751656,2015,26.119399830938292
72,603100,5813724,2015,10.52029079861111
73,603140,5753205,2015,36.55072006727636
74,605633,5813598,2015,15.776392264609532
75,608561,5752923,2015,44.497367866919355
76,608822,5814553,2015,-44.202473958333336
77,609033,5814220,2015,25.32595486111111
78,611288,5848257,2015,13.947056958681179
79,612093,5750138,2015,50.532121724429416
80,612111,5729441,2015,63.27298668357641
81,615152,5742285,2015,62.410757687836835
82,615985,5887091,2015,12.555015326075468
83,617115,5810626,2015,-42.016276041666664
84,617198,5869730,2015,13.736842105263158
85,618097,5763189,2015,43.94367081980944
86,621708,5762758,2015,55.643880208333336
87,624049,5878191,2015,18.11033608116677
88,626668,5723463,2015,22.7734375
89,626849,5723496,2015,78.61067708333333
90,627246,5756327,2015,77.67628408370324
91,627268,5723051,2015,519.3621961805555
92,629395,5741131,2015,92.98129359543437
93,630857,5731615,2015,72.21655782599537
94,632704,5804788,2015,-39.97374131944444
95,633923,5804978,2015,-37.225260416666664
96,637489,5866613,2015,25.1997463538364
97,637624,5866467,2015,-10.156684027777779
98,637649,5798188,2015,-41.19965277777778
99,637883,5718135,2015,519.1629774305555
100,638972,5743176,2015,134.50908898752905
101,639387,5907253,2015,12.949799196787149
102,639563,5777881,2015,-39.53862847222222
103,640338,5716508,2015,1255.806640625
104,640450,5820450,2015,-31.524121779859485
105,640853,5716560,2015,773.0460069444445
106,641888,5859906,2015,-12.064501974550241
107,642579,5860301,2015,-10.17527352297593
108,643358,5766692,2015,53.785373263888886
109,644977,5765673,2015,-38.85980902777778
110,645772,5799411,2015,-37.161892361111114
111,646384,5762438,2015,141.31779750581273
112,646656,5762067,2015,261.8229166666667
113,646713,5733795,2015,95.54669895756555
114,647723,5914954,2015,16.96174170365673
115,649545,5864798,2015,-6.894836123555765
116,651365,5822570,2015,-21.27486795774648
117,652318,5759061,2015,296.00737847222223
118,653131,5707532,2015,1255.9967447916667
119,653223,5707510,2015,1497.5733506944443
120,653241,5707542,2015,1498.462890625
121,654088,5840361,2015,-23.07204861111111
122,654340,5840610,2015,-9.331163194444445
123,654720,5742862,2015,333.2466187658495
124,654952,5924030,2015,13.604100612978229
125,656546,5882594,2015,24.58454872120059
126,656590,5882495,2015,-1.638671875
127,659087,5760104,2015,-39.416015625
128,659892,5853911,2015,-7.0625
129,661021,5894519,2015,25.3020921386306
130,662527,5741266,2015,457.5
131,665110,5822367,2015,-26.682291666666668
132,665121,5822617,2015,-10.838541666666666
133,665123,5760932,2015,414.10698784722223
134,665638,5761099,2015,540.5427517361111
135,667704,5742667,2015,161.6097304128054
136,667719,5854058,2015,-6.440567066521265
137,668229,5792743,2015,-33.023654513888886
138,668717,5753246,2015,374.18836805555554
139,668921,5793156,2015,-23.74175347222222
140,668937,5752825,2015,595.4444444444445
141,668973,5724806,2015,474.9342447916667
142,669044,5724751,2015,856.6380208333334
143,669174,5742685,2015,482.4256465517241
144,669207,5724760,2015,857.3559027777778
145,672716,5847348,2015,-6.49234135667396
146,675232,5720586,2015,856.2029079861111
147,675338,5720503,2015,1062.0657552083333
148,676846,5744897,2015,515.4325431034483
149,678104,5758717,2015,642.912109375
150,678882,5832208,2015,-6.465277777777778
151,679193,5717211,2015,1062.3700086805557
152,679278,5717104,2015,1280.0733506944443
153,680971,5753243,2015,719.76171875
154,682030,5678007,2015,3568.7141927083335
155,682593,5712932,2015,1280.406032986111
156,682677,5712826,2015,1503.0377604166667
157,682780,5857673,2015,-1.2513020833333333
158,683322,5923626,2015,24.131248018598754
159,684090,5711132,2015,1344.1234809027778
160,684146,5711061,2015,1502.923611111111
161,685545,5708748,2015,1502.560763888889
162,686975,5705401,2015,1591.96484375
163,687166,5703144,2015,2066.431206597222
164,687811,5699650,2015,2066.1707899305557
165,688436,5639314,2015,4031.729310344828
166,688513,5829645,2015,-5.210503472222222
167,688703,5640969,2015,3973.989434294519
168,688710,5699541,2015,2261.8997395833335
169,688785,5739045,2015,574.6849137931034
170,688910,5738879,2015,774.2525862068966
171,689225,5626353,2015,4567.776113013699
172,689322,5639152,2015,4024.08647260274
173,689652,5697401,2015,2260.841796875
174,689753,5697307,2015,2509.7756076388887
175,689945,5634420,2015,4433.0592672413795
176,690082,5639467,2015,4404.977586206896
177,691010,5692400,2015,2509.2923177083335
178,691029,5692257,2015,2707.2282986111113
179,691216,5642135,2015,4405.087931034483
180,691227,5920843,2015,18.486369399830938
181,691326,5690204,2015,2706.8172743055557
182,691347,5690062,2015,2863.8439670138887
183,691409,5815602,2015,-16.303819444444443
184,691419,5689746,2015,2863.075737847222
185,691684,5645089,2015,3726.18903632804
186,691802,5683735,2015,3360.6121961805557
187,691899,5683736,2015,3164.100043402778
188,691997,5650992,2015,3139.824888888889
189,692059,5650898,2015,3149.6657777777777
190,692405,5832976,2015,-1.8322482638888888
191,692540,5760632,2015,794.36328125
192,692863,5829445,2015,1.9264322916666667
193,693079,5760970,2015,824.0546875
194,693472,5656743,2015,2898.465884398088
195,693507,5656800,2015,2900.624074880279
196,693534,5648764,2015,3587.697198275862
197,693601,5825431,2015,-15.719401041666666
198,693607,5825600,2015,-5.090494791666667
199,693883,5658070,2015,2820.247629310345
200,694044,5654180,2015,2943.59351892127
201,695945,5663920,2015,2392.7342672413793
202,696130,5933727,2015,15.77459579414562
203,696393,5748430,2015,869.8752170138889
204,696478,5725152,2015,518.1121961805555
205,697343,5664854,2015,2248.6281549173195
206,697563,5668048,2015,2149.5506205094707
207,698197,5826394,2015,30.60394965277778
208,698367,5737637,2015,791.25
209,698818,5668242,2015,2183.4004310344826
210,700000,5762308,2015,916.5123697916666
211,700081,5672129,2015,2864.966796875
212,701651,5838427,2015,-0.5377604166666666
213,702694,5760693,2015,952.2884114583334
214,702827,5759739,2015,962.6178385416666
215,702912,5760277,2015,1043.964981569247
216,703463,5761868,2015,931.7361111111111
217,703630,5757768,2015,980.3029513888889
218,703646,5921997,2015,54.04185692541857
219,703957,5673266,2015,2080.3575431034483
220,704079,5673500,2015,1503.4338362068966
221,704301,5731517,2015,845.1971982758621
222,704491,5672533,2015,1786.1310344827587
223,705204,5835773,2015,4.880425347222222
224,706152,5725423,2015,898.4797413793103
225,706811,5725164,2015,1095.284698275862
226,706872,5754467,2015,1017.28125
227,707198,5822001,2015,134.70138888888889
228,707251,5720411,2015,774.2586805555555
229,707308,5822132,2015,10.399956597222221
230,708252,5677508,2015,1682.9043103448275
231,708256,5836427,2015,9.138237847222221
232,708493,5752959,2015,1143.0
233,708514,5752920,2015,1153.0
234,708958,5766541,2015,838.2619357638889
235,709204,5838074,2015,9.12673611111111
236,709470,5750940,2015,1051.755859375
237,709615,5682996,2015,1476.7689655172414
238,709937,5682026,2015,1495.8963362068966
239,710193,5828292,2015,11.769965277777779
240,711470,5803616,2015,333.9674479166667
241,712412,5749795,2015,1076.8036024305557
242,712485,5922496,2015,19.312552831783602
243,712579,5929214,2015,19.769100708020712
244,712860,5808485,2015,266.9552951388889
245,713748,5748949,2015,1091.1430121527778
246,714398,5715304,2015,1156.878448275862
247,714790,5767837,2015,767.0145399305555
248,715193,5843888,2015,11.29318576388889
249,715231,5793662,2015,436.1536458333333
250,716937,5689858,2015,1412.3129310344827
251,717030,5690081,2015,1292.3918103448275
252,717567,5782900,2015,578.9906684027778
253,717897,5823514,2015,68.1328125
254,720154,5695587,2015,1273.3689655172413
255,720813,5783644,2015,564.3930121527778
256,721447,5783825,2015,1000.0857204861111
257,724629,5784598,2015,1000.3381076388889
258,724996,5941470,2015,18.710798816568047
259,730784,5824691,2015,299.3806423611111
260,732164,5824058,2015,296.77039930555554
261,739970,5788881,2015,1002.5128038194445
262,747295,5808689,2015,1004.6469184027778
263,748885,5930746,2015,87.91120507399577
264,750329,5836516,2015,913.3895399305555
265,750931,5794734,2015,1004.1475694444445
266,751161,5794894,2015,1601.2623697916667
267,754198,5929013,2015,18.892645815722737
268,759505,5795302,2015,1758.785373263889
269,759524,5795230,2015,1601.6124131944443
270,759826,5795192,2015,2506.6746961805557
271,761899,5915790,2015,27.57502113271344
272,780777,5906295,2015,44.5728021978022
